,date,timCool1,strCushion1,tmpMoldZone3,tmpFlange1,tmpMoldZone4,strPlasticisation1,tmpMoldZone1,tmpMoldZone2,spdInjection1,tmpMoldZone9,tmpMoldZone7,tmpMoldZone8,tmpOil,tmpMoldZone5,tmpMoldZone6,tmpMoldZone19,cntCycle,tmpMoldZone18,stsMachine,tmpMoldZone15,volTransfer1,tmpMoldZone14,tmpMoldZone17,strTransfer1,tmpMoldZone16,timTransfer1,timMoldClose,tmpBarrel1Zone5,tmpBarrel1Zone4,prsPomp1,tmpBarrel1Zone1,tmpBarrel1Zone3,tmpMoldZone20,tmpBarrel1Zone2,volShot1,timFill1,timMoldOpen,tmpMoldZone11,tmpMoldZone10,prsTransferHyd1,tmpMoldZone13,tmpMoldZone12,decMold,prsHoldSpec1,tmpNozle1,timestamp,prsInjectionHyd1,timCycle,sfc,frcClamp,timPlasticisation1,reason
23646,2020-12-17T01:09:23.000,16.5,21.2,294.0,88.0,295.0,70.4,294.0,295.0,43.7,0.0,0.0,0.0,40.0,296.0,0.0,0.0,214,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,43.0,255.0,270.0,0.0,260.0,0.0,1.8,3.44,0.0,0.0,59.84,0.0,0.0,1793,991.0,250.0,2020-12-17 04:09:23.0,77.65,45.71,"['S108169700414301682', 'S108169700413301682', 'S1081726004132303300', 'S1081726004142303300']",3885.0,12.35,[]
23647,2020-12-17T01:08:35.000,16.5,21.2,294.0,88.0,295.0,70.5,296.0,295.0,43.1,0.0,0.0,0.0,41.0,296.0,0.0,0.0,213,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,98.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.8,0.0,0.0,1793,991.0,250.0,2020-12-17 04:08:35.0,77.69,45.72,"['S1081726004122303300', 'S108169700412301682', 'S1081726004112303300', 'S108169700411301682']",3885.0,12.28,[]
23648,2020-12-17T01:10:52.000,16.5,21.2,294.0,88.0,295.0,70.5,296.0,295.0,43.1,0.0,0.0,0.0,39.0,296.0,0.0,0.0,216,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,97.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.72,0.0,0.0,1793,987.0,250.0,2020-12-17 04:10:52.0,77.44,45.73,"['S1081726004182303300', 'S108169700417301682', 'S108169700418301682', 'S1081726004172303300']",3885.0,12.36,[]
23649,2020-12-17T01:10:08.000,16.5,21.2,295.0,88.0,295.0,70.4,294.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,215,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,40.0,255.0,270.0,0.0,260.0,0.0,1.81,3.44,0.0,0.0,59.72,0.0,0.0,1793,987.0,250.0,2020-12-17 04:10:08.0,77.35,45.72,"['S1081726004152303300', 'S108169700416301682', 'S108169700415301682', 'S1081726004162303300']",3885.0,12.37,[]
23650,2020-12-17T01:11:41.000,16.5,21.2,294.0,88.0,295.0,70.4,297.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,217,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,70.0,255.0,270.0,0.0,260.0,0.0,1.8,3.45,0.0,0.0,59.76,0.0,0.0,1793,986.0,250.0,2020-12-17 04:11:41.0,77.31,45.71,"['S108169700420301682', 'S1081726004202303300', 'S108169700419301682', 'S1081726004192303300']",3885.0,12.36,[]
23651,2020-12-17T01:13:09.000,16.5,21.2,294.0,89.0,295.0,70.5,295.0,295.0,43.7,0.0,0.0,0.0,40.0,296.0,0.0,0.0,219,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,91.0,255.0,270.0,0.0,260.0,0.0,1.8,3.44,0.0,0.0,59.67,0.0,0.0,1793,987.0,250.0,2020-12-17 04:13:09.0,77.39,45.72,"['S1081726004232303300', 'S108169700423301682', 'S1081726004242303300', 'S108169700424301682']",3885.0,12.34,[]
23652,2020-12-17T01:12:25.000,16.5,21.2,294.0,89.0,295.0,70.5,293.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,218,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,40.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.72,0.0,0.0,1793,989.0,250.0,2020-12-17 04:12:25.0,77.56,45.72,"['S108169700421301682', 'S1081726004212303300', 'S108169700422301682', 'S1081726004222303300']",3885.0,12.36,[]
23653,2020-12-17T01:13:58.000,16.5,21.2,294.0,88.0,295.0,70.5,295.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,220,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,79.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.67,0.0,0.0,1793,987.0,250.0,2020-12-17 04:13:58.0,77.39,45.7,"['S1081726004252303300', 'S1081726004262303300', 'S108169700425301682', 'S108169700426301682']",3885.0,12.35,[]
23654,2020-12-17T01:14:42.000,16.5,21.2,294.0,88.0,295.0,70.4,295.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,221,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,39.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.72,0.0,0.0,1793,984.0,250.0,2020-12-17 04:14:42.0,77.14,45.72,"['S108169700428301682', 'S108169700427301682', 'S1081726004272303300', 'S1081726004282303300']",3885.0,12.28,[]
23655,2020-12-17T01:15:27.000,16.5,21.2,294.0,88.0,295.0,70.5,296.0,295.0,43.7,0.0,0.0,0.0,40.0,296.0,0.0,0.0,222,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,47.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.67,0.0,0.0,1793,988.0,250.0,2020-12-17 04:15:27.0,77.44,45.71,"['S1081726004302303300', 'S1081726004292303300', 'S108169700430301682', 'S108169700429301682']",3885.0,12.24,[]
23656,2020-12-17T01:16:15.000,16.5,21.3,294.0,88.0,295.0,70.5,292.0,295.0,43.7,0.0,0.0,0.0,40.0,296.0,0.0,0.0,223,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,71.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.76,0.0,0.0,1793,987.0,250.0,2020-12-17 04:16:15.0,77.39,45.74,"['S1081726004312303300', 'S108169700432301682', 'S1081726004322303300', 'S108169700431301682']",3885.0,12.26,[]
23657,2020-12-17T01:17:00.000,16.5,21.3,294.0,88.0,295.0,70.5,295.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,224,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,39.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.8,0.0,0.0,1793,988.0,250.0,2020-12-17 04:17:00.0,77.48,45.7,[],3885.0,12.29,[]
23658,2020-12-17T01:17:44.000,16.5,21.2,294.0,88.0,295.0,70.5,294.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,225,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,44.0,255.0,270.0,0.0,260.0,0.0,1.8,3.45,0.0,0.0,59.72,0.0,0.0,1793,989.0,250.0,2020-12-17 04:17:44.0,77.56,45.72,[],3885.0,12.3,[]
23659,2020-12-17T01:18:32.000,16.5,21.2,294.0,88.0,295.0,70.5,294.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,226,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,91.0,255.0,270.0,0.0,260.0,0.0,1.8,3.45,0.0,0.0,59.84,0.0,0.0,1793,988.0,250.0,2020-12-17 04:18:32.0,77.48,45.71,[],3885.0,12.27,[]
23660,2020-12-17T01:19:17.000,16.5,21.3,294.0,88.0,295.0,70.5,295.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,227,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,40.0,255.0,270.0,0.0,260.0,0.0,1.81,3.45,0.0,0.0,59.76,0.0,0.0,1793,987.0,250.0,2020-12-17 04:19:17.0,77.39,45.75,[],3885.0,12.32,[]
23661,2020-12-17T01:20:01.000,16.5,21.2,294.0,88.0,295.0,70.4,294.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,228,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,45.0,255.0,270.0,0.0,260.0,0.0,1.81,3.44,0.0,0.0,59.63,0.0,0.0,1793,985.0,250.0,2020-12-17 04:20:01.0,77.23,45.7,"['S1081726004342303300', 'S108169700433301682', 'S1081726004332303300', 'S108169700434301682']",3885.0,12.34,[]
23662,2020-12-17T01:21:34.000,16.5,21.2,294.0,88.0,295.0,70.5,293.0,295.0,42.6,0.0,0.0,0.0,41.0,296.0,0.0,0.0,230,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,40.0,255.0,270.0,0.0,260.0,0.0,1.81,3.44,0.0,0.0,59.76,0.0,0.0,1793,988.0,250.0,2020-12-17 04:21:34.0,77.48,45.7,"['S1081726004382303300', 'S1081726004372303300', 'S108169700437301682', 'S108169700438301682']",3885.0,12.37,[]
23663,2020-12-17T01:20:50.000,16.5,21.2,294.0,88.0,295.0,70.4,297.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,229,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,119.0,255.0,270.0,0.0,260.0,0.0,1.81,3.44,0.0,0.0,59.67,0.0,0.0,1793,986.0,250.0,2020-12-17 04:20:50.0,77.27,45.68,"['S108169700436301682', 'S1081726004362303300', 'S108169700435301682', 'S1081726004352303300']",3885.0,12.39,[]
23669,2020-12-17T01:22:18.000,16.5,21.2,294.0,88.0,295.0,70.4,295.0,295.0,43.7,0.0,0.0,0.0,41.0,296.0,0.0,0.0,231,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.92,285.0,280.0,44.0,255.0,270.0,0.0,260.0,0.0,1.81,3.44,0.0,0.0,59.67,0.0,0.0,1793,989.0,250.0,2020-12-17 04:22:18.0,77.52,45.68,"['S108169700439301682', 'S108169700440301682', 'S1081726004392303300', 'S1081726004402303300']",3885.0,12.37,[]
