,date,timCool1,strCushion1,tmpMoldZone3,tmpFlange1,tmpMoldZone4,strPlasticisation1,tmpMoldZone1,tmpMoldZone2,spdInjection1,tmpMoldZone9,tmpMoldZone7,tmpMoldZone8,tmpOil,tmpMoldZone5,tmpMoldZone6,tmpMoldZone19,cntCycle,tmpMoldZone18,stsMachine,tmpMoldZone15,volTransfer1,tmpMoldZone14,tmpMoldZone17,strTransfer1,tmpMoldZone16,timTransfer1,timMoldClose,tmpBarrel1Zone5,tmpBarrel1Zone4,prsPomp1,tmpBarrel1Zone1,tmpBarrel1Zone3,tmpMoldZone20,tmpBarrel1Zone2,volShot1,timFill1,timMoldOpen,tmpMoldZone11,tmpMoldZone10,prsTransferHyd1,tmpMoldZone13,tmpMoldZone12,decMold,prsHoldSpec1,tmpNozle1,timestamp,prsInjectionHyd1,timCycle,sfc,frcClamp,timPlasticisation1,reason
77389,2021-02-09T10:56:34.000,23.37,0.4,294.0,96.0,294.0,112.9,292.0,293.0,46.5,0.0,0.0,0.0,40.0,283.0,0.0,0.0,2,0.0,0S000,0.0,0.0,0.0,0.0,28.8,0.0,13.0,3.42,290.0,281.0,32.0,265.0,276.0,0.0,275.0,0.0,5.5,2.43,0.0,0.0,24.02,0.0,0.0,1715,340.0,258.0,2021-02-09 13:56:34.0,82.64,52.82,[],4350.0,10.58,[]
77390,2021-02-09T10:35:26.000,23.91,18.9,299.0,93.0,299.0,111.5,300.0,300.0,26.0,0.0,300.0,301.0,44.0,300.0,300.0,0.0,957,0.0,0S000,0.0,0.0,0.0,0.0,27.0,0.0,17.5,2.67,290.0,281.0,65.0,265.0,275.0,0.0,275.0,0.0,4.73,2.42,0.0,0.0,67.58,0.0,0.0,1715,866.0,260.0,2021-02-09 13:35:26.0,67.88,57.55,[],4350.0,13.75,[]
77391,2021-02-09T10:39:21.000,23.38,15.7,295.0,96.0,295.0,108.8,295.0,295.0,21.6,0.0,0.0,0.0,40.0,294.0,0.0,0.0,958,0.0,0S000,0.0,0.0,0.0,0.0,23.5,0.0,13.0,3.39,290.0,281.0,39.0,265.0,276.0,0.0,275.0,0.0,5.5,2.42,0.0,0.0,80.23,0.0,0.0,1715,970.0,258.0,2021-02-09 13:39:21.0,80.69,53.85,[],4350.0,8.66,[]
77392,2021-02-09T10:52:53.000,23.38,21.8,295.0,96.0,295.0,112.7,295.0,295.0,24.3,0.0,0.0,0.0,40.0,297.0,0.0,0.0,960,0.0,0A000,0.0,0.0,0.0,0.0,32.1,0.0,13.0,3.39,290.0,280.0,111.0,265.0,275.0,0.0,275.0,0.0,5.5,2.42,0.0,0.0,73.04,0.0,0.0,1715,1118.0,261.0,2021-02-09 13:52:53.0,87.67,53.89,[],4350.0,8.14,[]
77393,2021-02-09T10:41:15.000,23.38,23.6,295.0,96.0,295.0,112.6,295.0,295.0,30.4,0.0,0.0,0.0,40.0,293.0,0.0,0.0,959,0.0,0S000,0.0,0.0,0.0,0.0,65.1,0.0,13.0,3.38,290.0,280.0,110.0,265.0,275.0,0.0,275.0,0.0,5.5,2.43,0.0,0.0,58.62,0.0,0.0,1715,1226.0,260.0,2021-02-09 13:41:15.0,96.13,53.89,[],4350.0,8.1,[]
77394,2021-02-09T10:53:45.000,23.37,0.4,295.0,96.0,295.0,112.7,295.0,295.0,39.3,0.0,0.0,0.0,40.0,297.0,0.0,0.0,0,0.0,0A000,0.0,0.0,0.0,0.0,47.0,0.0,13.0,3.4,290.0,280.0,39.0,265.0,275.0,0.0,275.0,0.0,5.5,2.43,0.0,0.0,70.5,0.0,0.0,1715,1227.0,261.0,2021-02-09 13:53:45.0,96.17,53.86,[],4350.0,8.14,[]
77395,2021-02-09T10:54:36.000,23.37,0.4,295.0,96.0,295.0,111.9,294.0,295.0,46.5,0.0,0.0,0.0,40.0,298.0,0.0,0.0,1,0.0,0A000,0.0,0.0,0.0,0.0,27.0,0.0,13.0,3.41,290.0,280.0,40.0,265.0,275.0,0.0,275.0,0.0,5.5,2.42,0.0,0.0,24.99,0.0,0.0,1715,377.0,259.0,2021-02-09 13:54:36.0,82.85,52.92,[],4350.0,11.14,[]
77396,2021-02-09T15:07:50.000,23.36,75.7,300.0,92.0,300.0,111.5,300.0,300.0,20.5,0.0,0.0,0.0,40.0,305.0,0.0,0.0,5,0.0,0S000,0.0,0.0,0.0,0.0,76.0,0.0,0.0,3.41,290.0,281.0,114.0,264.0,275.0,0.0,274.0,0.0,2.0,2.43,0.0,0.0,51.47,0.0,0.0,1715,659.0,258.0,2021-02-09 18:07:50.0,51.64,37.18,[],4350.0,9.39,[]
77397,2021-02-09T15:10:27.000,23.37,18.5,300.0,92.0,300.0,112.4,300.0,299.0,20.5,0.0,0.0,0.0,40.0,301.0,0.0,0.0,8,0.0,0A000,0.0,0.0,0.0,0.0,24.1,0.0,13.0,3.41,290.0,281.0,59.0,265.0,275.0,0.0,275.0,0.0,5.0,2.43,0.0,0.0,91.22,0.0,0.0,1715,1166.0,259.0,2021-02-09 18:10:27.0,91.39,53.13,[],4350.0,7.66,[]
77398,2021-02-09T10:59:59.000,23.36,0.4,301.0,96.0,301.0,114.7,298.0,302.0,49.2,0.0,0.0,0.0,40.0,300.0,0.0,0.0,3,0.0,0S000,0.0,0.0,0.0,0.0,59.1,0.0,13.0,3.41,290.0,281.0,33.0,265.0,276.0,0.0,275.0,0.0,5.5,2.42,0.0,0.0,28.46,0.0,0.0,1715,325.0,258.0,2021-02-09 13:59:59.0,83.19,53.83,[],4350.0,10.44,[]
